Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
334	2460.8043694496155	1000	336000	518.0346865184189	-836.6457770833164	1007	336000
335	2467.667074203491	1000	337000	518.0346865184189	-145.75421190171645	1012	337000
336	2474.540020942688	1000	338000	518.0346865184189	-2966.0484624157225	1013	338000
337	2481.3983528614044	1000	339000	518.0346865184189	-2907.170427128745	1014	339000
338	2488.2748761177063	1000	340000	518.0346865184189	-197.06651644165996	1017	340000
339	2495.1490874290466	1000	341000	518.0346865184189	-2974.5874988998166	1018	341000
340	2502.0245220661163	1000	342000	518.0346865184189	-518.4994532061804	1023	342000
341	2508.8944876194	1000	343000	518.0346865184189	-2944.608295060669	1024	343000
342	2515.75098323822	1000	344000	518.0346865184189	-31.566722658672084	1027	344000
343	2522.603593349457	1000	345000	518.0346865184189	-172.7747164073768	1035	345000
344	2529.4648036956787	1000	346000	518.0346865184189	-395.296401390101	1045	346000
345	2536.3293845653534	1000	347000	518.0346865184189	-2875.516626662407	1046	347000
346	2543.2147195339203	1000	348000	518.0346865184189	-183.05564181500557	1049	348000
347	2550.066838979721	1000	349000	518.0346865184189	-562.4581195810973	1050	349000
348	2556.926331281662	1000	350000	518.0346865184189	-63.77103433885783	1066	350000
349	2563.7981989383698	1000	351000	518.0346865184189	-183.5864975139385	1070	351000
350	2570.6628222465515	1000	352000	518.0346865184189	-113.95357151482236	1073	352000
351	2577.535624265671	1000	353000	518.0346865184189	-96.81539647484755	1080	353000
352	2584.4112269878387	1000	354000	518.0346865184189	-208.7246636896544	1086	354000
353	2591.262115240097	1000	355000	518.0346865184189	-261.37499610951653	1092	355000
354	2598.1152453422546	1000	356000	518.0346865184189	-39.052943469489065	1097	356000
355	2604.9635083675385	1000	357000	518.0346865184189	-345.7055131537095	1101	357000
356	2611.8206679821014	1000	358000	518.0346865184189	-128.50287558565597	1106	358000
